Data Source in SDW: https://sdw.ecb.europa.eu/browseSelection.do?org.apache.struts.taglib.html.TOKEN=a84d6d4e363935007adfef754b21c2a0&df=true&ec=&dc=&oc=&pb=&rc=&DATASET=1&removeItem=&removedItemList=&mergeFilter=&activeTab=YC&showHide=&MAX_DOWNLOAD_SERIES=500&SERIES_MAX_NUM=50&node=9691417&legendRef=reference&legendPub=published&legendNor=
,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_10Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_11Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_12Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_13Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_14Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_15Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_16Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_17Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_18Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_19Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_1Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_20Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_21Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_22Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_23Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_24Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_25Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_26Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_27Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_28Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_29Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_2Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_30Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_3M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_3Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_4Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_5Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_6M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_6Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_7Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_8Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_9Y
2023-03-16,2.271131,2.282496,2.292583,2.301018,2.307630,2.312373,2.315278,2.316423,2.315915,2.313874,2.636265,2.310427,2.305702,2.299826,2.292919,2.285096,2.276466,2.267129,2.257178,2.246700,2.235773,2.472917,2.224470,2.708922,2.350925,2.280991,2.247994,2.699405,2.237441,2.239450,2.247914,2.259189
2023-03-15,2.251536,2.261485,2.269880,2.276468,2.281164,2.283986,2.285011,2.284349,2.282131,2.278493,2.559548,2.273574,2.267508,2.260427,2.252451,2.243694,2.234264,2.224257,2.213761,2.202859,2.191624,2.415795,2.180122,2.600620,2.307630,2.248135,2.222294,2.605157,2.216104,2.220362,2.229572,2.240564
2023-03-14,2.516178,2.522210,2.527004,2.530116,2.531351,2.530663,2.528098,2.523757,2.517770,2.510284,2.954677,2.501449,2.491416,2.480329,2.468326,2.455537,2.442080,2.428067,2.413597,2.398762,2.383643,2.850468,2.368315,2.638212,2.692684,2.589403,2.534778,2.825578,2.510528,2.503185,2.504524,2.509766
2023-03-13,2.297745,2.306316,2.313851,2.319985,2.324547,2.327487,2.328828,2.328638,2.327009,2.324050,2.762984,2.319874,2.314597,2.308331,2.301186,2.293263,2.284660,2.275467,2.265766,2.255634,2.245141,2.582925,2.234350,2.637657,2.424641,2.335649,2.293532,2.742517,2.277726,2.275794,2.280782,2.288823
2023-03-10,2.525409,2.520671,2.516537,2.512595,2.508584,2.504339,2.499761,2.494793,2.489407,2.483597,3.159555,2.477370,2.470740,2.463730,2.456366,2.448675,2.440686,2.432429,2.423932,2.415224,2.406332,2.939197,2.397281,2.760541,2.758048,2.658196,2.603181,3.050594,2.571353,2.552015,2.539693,2.531401
2023-03-09,2.718485,2.713469,2.708863,2.704160,2.699052,2.693352,2.686959,2.679823,2.671934,2.663305,3.292748,2.653964,2.643951,2.633312,2.622096,2.610354,2.598138,2.585497,2.572482,2.559137,2.545509,3.166974,2.531639,2.750621,2.986467,2.872355,2.806902,3.078369,2.769287,2.747106,2.733527,2.724727
2023-03-08,2.701317,2.693565,2.686539,2.679679,2.672632,2.665182,2.657200,2.648619,2.639410,2.629573,3.302547,2.619125,2.608096,2.596523,2.584448,2.571916,2.558971,2.545660,2.532025,2.518110,2.503955,3.193923,2.489600,2.735312,3.009176,2.886162,2.812615,3.069115,2.768468,2.741034,2.723135,2.710692
2023-03-07,2.739352,2.738425,2.737402,2.735786,2.733286,2.729741,2.725077,2.719274,2.712348,2.704340,3.303451,2.695307,2.685315,2.674432,2.662732,2.650288,2.637171,2.623451,2.609193,2.594462,2.579317,3.165240,2.563815,2.713804,2.977116,2.863370,2.801890,3.073237,2.769547,2.752930,2.744761,2.741007
2023-03-06,2.805355,2.802574,2.799883,2.796757,2.792879,2.788071,2.782245,2.775369,2.767450,2.758522,3.267453,2.748634,2.737846,2.726224,2.713835,2.700748,2.687031,2.672751,2.657972,2.642753,2.627153,3.212557,2.611226,2.680390,3.054612,2.945445,2.881660,3.009685,2.845918,2.826139,2.815227,2.809097
2023-03-03,2.761844,2.762134,2.762009,2.761060,2.759054,2.755876,2.751481,2.745873,2.739089,2.731181,3.258408,2.722217,2.712270,2.701416,2.689734,2.677300,2.664188,2.650471,2.636215,2.621487,2.606347,3.123591,2.590853,2.729197,2.955005,2.856792,2.805710,3.056964,2.780229,2.768248,2.763301,2.761839
2023-03-02,2.788515,2.790629,2.791836,2.791811,2.790391,2.787515,2.783187,2.777451,2.770375,2.762045,3.222894,2.752552,2.741990,2.730456,2.718044,2.704845,2.690945,2.676426,2.661366,2.645838,2.629909,3.092462,2.613641,2.716021,2.937868,2.851992,2.810285,3.032755,2.791841,2.785212,2.784378,2.786085
2023-03-01,2.743558,2.743119,2.742745,2.741974,2.740527,2.738242,2.735035,2.730875,2.725762,2.719722,3.197742,2.712794,2.705025,2.696472,2.687190,2.677238,2.666674,2.655555,2.643937,2.631872,2.619411,3.107497,2.606600,2.682911,2.953079,2.854739,2.800068,2.985629,2.770807,2.755616,2.748147,2.744820
2023-02-28,2.759397,2.760216,2.760740,2.760553,2.759413,2.757192,2.753832,2.749324,2.743691,2.736976,3.161132,2.729233,2.720527,2.710925,2.700496,2.689309,2.677433,2.664934,2.651876,2.638318,2.624318,3.081903,2.609931,2.660219,2.939261,2.849500,2.801031,2.952997,2.776416,2.764804,2.760127,2.758980
2023-02-27,2.620550,2.620634,2.620763,2.620543,2.619734,2.618194,2.615847,2.612658,2.608624,2.603760,3.107090,2.598095,2.591666,2.584515,2.576688,2.568233,2.559197,2.549628,2.539571,2.529072,2.518173,2.955940,2.506915,2.681024,2.800212,2.711998,2.665565,2.959428,2.641436,2.629221,2.623459,2.621146
2023-02-24,2.593269,2.590282,2.587559,2.584715,2.581512,2.577805,2.573508,2.568581,2.563008,2.556794,3.079079,2.549957,2.542524,2.534527,2.526001,2.516983,2.507513,2.497627,2.487363,2.476759,2.465849,2.939226,2.454667,2.683408,2.790206,2.702916,2.654706,2.940295,2.627660,2.612087,2.602854,2.597129
2023-02-23,2.546118,2.548425,2.550075,2.550806,2.550481,2.549040,2.546478,2.542819,2.538110,2.532408,3.009272,2.525779,2.518292,2.510016,2.501022,2.491376,2.481144,2.470389,2.459168,2.447539,2.435552,2.812225,2.423257,2.640666,2.665338,2.593644,2.560734,2.913226,2.546668,2.541928,2.541757,2.543625
2023-02-22,2.575445,2.577801,2.579548,2.580422,2.580281,2.579061,2.576747,2.573357,2.568930,2.563515,2.975143,2.557173,2.549966,2.541958,2.533215,2.523801,2.513776,2.503201,2.492132,2.480622,2.468723,2.820119,2.456482,2.614464,2.688107,2.620851,2.589394,2.864409,2.575828,2.571234,2.571082,2.572942
2023-02-21,2.594867,2.594851,2.594636,2.593936,2.592580,2.590475,2.587580,2.583883,2.579396,2.574145,2.970068,2.568165,2.561498,2.554188,2.546281,2.537823,2.528860,2.519437,2.509598,2.499385,2.488836,2.850222,2.477989,2.631006,2.728833,2.661240,2.626418,2.853225,2.608843,2.600310,2.596530,2.595162
2023-02-20,2.487782,2.490005,2.491349,2.491588,2.490621,2.488424,2.485023,2.480471,2.474838,2.468205,2.974332,2.460657,2.452278,2.443153,2.433363,2.422985,2.412092,2.400753,2.389031,2.376985,2.364670,2.756360,2.352135,2.591724,2.603079,2.530797,2.498806,2.882410,2.485909,2.482195,2.482783,2.485114
2023-02-17,2.510574,2.514191,2.516761,2.518074,2.518041,2.516650,2.513938,2.509968,2.504822,2.498586,2.942356,2.491356,2.483223,2.474277,2.464608,2.454296,2.443422,2.432058,2.420272,2.408128,2.395683,2.753166,2.382992,2.546100,2.609039,2.540713,2.511574,2.831844,2.501151,2.499653,2.502227,2.506330
2023-02-16,2.575967,2.579540,2.581862,2.582766,2.582194,2.580162,2.576725,2.571963,2.565971,2.558849,2.935316,2.550700,2.541623,2.531717,2.521076,2.509786,2.497931,2.485587,2.472826,2.459714,2.446311,2.781996,2.432672,2.552949,2.655502,2.595392,2.570742,2.817211,2.563037,2.563235,2.566839,2.571504
2023-02-15,2.501264,2.503706,2.505049,2.505096,2.503768,2.501064,2.497028,2.491730,2.485257,2.477701,2.934256,2.469160,2.459729,2.449503,2.438572,2.427020,2.414928,2.402369,2.389414,2.376126,2.362565,2.746707,2.348783,2.541376,2.603793,2.535833,2.506521,2.824729,2.495590,2.493358,2.495037,2.498126
2023-02-14,2.462440,2.464862,2.466436,2.466903,2.466141,2.464115,2.460845,2.456380,2.450793,2.444165,2.942921,2.436583,2.428135,2.418909,2.408989,2.398455,2.387384,2.375848,2.363912,2.351638,2.339084,2.750589,2.326301,2.503774,2.592072,2.513094,2.477024,2.811101,2.461977,2.457227,2.457402,2.459660
2023-02-13,2.406919,2.410417,2.412955,2.414296,2.414334,2.413046,2.410461,2.406636,2.401648,2.395583,2.881308,2.388532,2.380586,2.371836,2.362368,2.352264,2.341602,2.330456,2.318893,2.306976,2.294763,2.675667,2.282308,2.462517,2.519736,2.445122,2.412530,2.766294,2.400107,2.397408,2.399253,2.402921
2023-02-10,2.396082,2.402717,2.408054,2.411884,2.414129,2.414789,2.413914,2.411583,2.407890,2.402940,2.827463,2.396838,2.389692,2.381603,2.372672,2.362992,2.352651,2.341732,2.330311,2.318461,2.306244,2.624498,2.293723,2.404788,2.474626,2.406408,2.379739,2.711810,2.372676,2.374809,2.381003,2.388579
2023-02-09,2.324128,2.330121,2.335387,2.339709,2.342984,2.345185,2.346329,2.346457,2.345631,2.343919,2.754543,2.341393,2.338125,2.334190,2.329655,2.324587,2.319049,2.313098,2.306789,2.300171,2.293291,2.550837,2.286191,2.391102,2.408898,2.343718,2.316728,2.666702,2.307885,2.307827,2.311946,2.317822
2023-02-08,2.385503,2.391572,2.396838,2.401117,2.404335,2.406488,2.407612,2.407765,2.407021,2.405457,2.741695,2.403151,2.400183,2.396627,2.392554,2.388031,2.383118,2.377873,2.372347,2.366587,2.360636,2.589359,2.354531,2.354911,2.461477,2.400196,2.374995,2.620689,2.367326,2.368096,2.372777,2.379005
2023-02-07,2.339159,2.345722,2.351445,2.356131,2.359687,2.362078,2.363313,2.363426,2.362464,2.360487,2.634041,2.357559,2.353745,2.349113,2.343728,2.337653,2.330952,2.323682,2.315898,2.307654,2.299000,2.497241,2.289981,2.328430,2.390689,2.341267,2.321971,2.545243,2.317262,2.319607,2.325227,2.332116
2023-02-06,2.321255,2.330109,2.337329,2.342798,2.346501,2.348490,2.348852,2.347692,2.345128,2.341279,2.654789,2.336264,2.330200,2.323197,2.315358,2.306782,2.297560,2.287777,2.277509,2.266829,2.255801,2.468354,2.244485,2.295140,2.345356,2.295529,2.280753,2.566615,2.281742,2.289632,2.300137,2.311063
2023-02-03,2.223966,2.229192,2.233319,2.236180,2.237713,2.237918,2.236838,2.234535,2.231087,2.226579,2.624140,2.221097,2.214729,2.207558,2.199666,2.191132,2.182027,2.172420,2.162375,2.151952,2.141206,2.414828,2.130186,2.314256,2.286177,2.231036,2.210114,2.567886,2.204827,2.206771,2.211863,2.217979
2023-02-02,2.204823,2.208444,2.210991,2.212296,2.212295,2.210991,2.208424,2.204659,2.199775,2.193857,2.617211,2.186993,2.179269,2.170771,2.161582,2.151778,2.141433,2.130616,2.119391,2.107817,2.095948,2.411556,2.083835,2.298543,2.280652,2.222937,2.199796,2.554012,2.192544,2.192670,2.196032,2.200472
2023-02-01,2.320551,2.324239,2.326529,2.327274,2.326442,2.324067,2.320224,2.315010,2.308535,2.300911,2.676724,2.292252,2.282670,2.272269,2.261150,2.249407,2.237127,2.224390,2.211271,2.197837,2.184151,2.523092,2.170268,2.280247,2.395747,2.335956,2.312145,2.552846,2.305372,2.306404,2.310670,2.315805
2023-01-31,2.321747,2.329730,2.335944,2.340235,2.342579,2.343023,2.341662,2.338614,2.334009,2.327982,2.669912,2.320668,2.312199,2.302698,2.292286,2.281072,2.269160,2.256646,2.243617,2.230155,2.216333,2.507177,2.202219,2.221250,2.371614,2.310645,2.289458,2.526772,2.286997,2.292976,2.302306,2.312360
2023-01-30,2.321596,2.324331,2.325797,2.325819,2.324346,2.321397,2.317036,2.311352,2.304448,2.296431,2.680179,2.287411,2.277494,2.266784,2.255377,2.243366,2.230836,2.217866,2.204528,2.190889,2.177009,2.543510,2.162946,2.261111,2.414247,2.349815,2.322220,2.537293,2.312649,2.311568,2.314177,2.317969
2023-01-27,2.292851,2.300009,2.305538,2.309298,2.311267,2.311490,2.310055,2.307071,2.302660,2.296946,2.637212,2.290053,2.282104,2.273212,2.263489,2.253035,2.241946,2.230310,2.218209,2.205716,2.192899,2.471056,2.179820,2.226823,2.341430,2.284093,2.264166,2.513778,2.261648,2.266943,2.275337,2.284401
2023-01-26,2.226587,2.232178,2.236642,2.239784,2.241528,2.241867,2.240841,2.238514,2.234967,2.230289,2.604101,2.224572,2.217907,2.210384,2.202091,2.193110,2.183519,2.173391,2.162795,2.151794,2.140446,2.430065,2.128807,2.231259,2.298669,2.238129,2.214077,2.499494,2.207353,2.208804,2.213896,2.220255
2023-01-25,2.163418,2.171419,2.178338,2.183941,2.188126,2.190870,2.192199,2.192173,2.190866,2.188364,2.587588,2.184758,2.180140,2.174599,2.168223,2.161097,2.153300,2.144906,2.135986,2.126605,2.116823,2.383698,2.106697,2.184354,2.236340,2.169523,2.143494,2.481280,2.136847,2.139456,2.146310,2.154779
2023-01-24,2.238985,2.246207,2.252416,2.257348,2.260879,2.262972,2.263646,2.262953,2.260967,2.257772,2.610960,2.253459,2.248119,2.241844,2.234723,2.226842,2.218281,2.209117,2.199421,2.189261,2.178698,2.468911,2.167791,2.157340,2.328594,2.257621,2.227444,2.452807,2.217881,2.218480,2.223888,2.231249
2023-01-23,2.241841,2.249778,2.256282,2.261160,2.264351,2.265870,2.265784,2.264185,2.261178,2.256879,2.631438,2.251403,2.244863,2.237370,2.229029,2.219938,2.210188,2.199867,2.189052,2.177818,2.166230,2.450949,2.154350,2.188948,2.306994,2.241236,2.216655,2.497335,2.211632,2.215704,2.223686,2.232882
2023-01-20,2.196191,2.202720,2.208065,2.211999,2.214435,2.215366,2.214837,2.212923,2.209715,2.205315,2.644582,2.199827,2.193353,2.185994,2.177848,2.169003,2.159547,2.149559,2.139113,2.128276,2.117111,2.441834,2.105675,2.199418,2.285922,2.213284,2.183905,2.517222,2.175177,2.176258,2.181778,2.188931
2023-01-19,2.087292,2.091267,2.094754,2.097457,2.099215,2.099954,2.099657,2.098340,2.096042,2.092817,2.582711,2.088725,2.083831,2.078200,2.071900,2.064993,2.057542,2.049605,2.041239,2.032495,2.023422,2.373292,2.014065,2.178846,2.213945,2.135624,2.099670,2.474326,2.084519,2.079805,2.080338,2.083351
2023-01-18,2.032437,2.030609,2.028575,2.026131,2.023168,2.019638,2.015528,2.010853,2.005640,1.999925,2.467429,1.993749,1.987156,1.980191,1.972897,1.965315,1.957485,1.949446,1.941231,1.932874,1.924404,2.284163,1.915851,2.197016,2.159058,2.097110,2.066209,2.412737,2.050263,2.041815,2.037184,2.034421
2023-01-17,2.186919,2.194817,2.201822,2.207676,2.212256,2.215524,2.217496,2.218217,2.217756,2.216191,2.586872,2.213604,2.210081,2.205707,2.200564,2.194729,2.188278,2.181280,2.173801,2.165902,2.157638,2.418051,2.149062,2.150717,2.272689,2.202061,2.172734,2.448163,2.163813,2.164904,2.170764,2.178613
2023-01-16,2.198430,2.208326,2.217361,2.225236,2.231801,2.237001,2.240842,2.243364,2.244631,2.244720,2.579685,2.243714,2.241700,2.238764,2.234989,2.230458,2.225247,2.219428,2.213071,2.206238,2.198989,2.433451,2.191379,2.096882,2.285599,2.210569,2.179013,2.409239,2.169678,2.171467,2.178668,2.188222
2023-01-13,2.170443,2.173651,2.176238,2.177961,2.178704,2.178423,2.177124,2.174842,2.171630,2.167551,2.581826,2.162672,2.157065,2.150800,2.143944,2.136562,2.128717,2.120467,2.111866,2.102964,2.093809,2.417844,2.084442,2.198547,2.280315,2.211432,2.180030,2.464881,2.167160,2.163476,2.164273,2.167056
2023-01-12,2.203748,2.208103,2.211739,2.214420,2.216034,2.216544,2.215960,2.214325,2.211695,2.208139,2.585281,2.203730,2.198543,2.192651,2.186127,2.179039,2.171453,2.163429,2.155025,2.146294,2.137285,2.435347,2.128042,2.193949,2.302511,2.235793,2.206112,2.459167,2.194865,2.192726,2.194977,2.199112
2023-01-11,2.263608,2.268264,2.271434,2.272966,2.272839,2.271106,2.267862,2.263227,2.257328,2.250299,2.635175,2.242267,2.233357,2.223685,2.213360,2.202482,2.191142,2.179425,2.167406,2.155153,2.142728,2.490685,2.130184,2.151814,2.350178,2.281388,2.253515,2.466600,2.245505,2.246685,2.251714,2.257839
2023-01-10,2.359180,2.365153,2.369016,2.370727,2.370355,2.368028,2.363908,2.358168,2.350984,2.342528,2.625373,2.332962,2.322439,2.311101,2.299075,2.286480,2.273423,2.259997,2.246290,2.232377,2.218326,2.516521,2.204197,2.147022,2.399128,2.344787,2.326958,2.448526,2.326347,2.333069,2.342221,2.351338
2023-01-09,2.349536,2.355240,2.358247,2.358657,2.356652,2.352455,2.346303,2.338431,2.329067,2.318420,2.619001,2.306688,2.294049,2.280663,2.266675,2.252214,2.237394,2.222315,2.207067,2.191727,2.176361,2.468314,2.161029,2.167015,2.353518,2.310065,2.301507,2.476794,2.307519,2.318679,2.330597,2.341198
2023-01-06,2.364292,2.372366,2.377583,2.379985,2.379734,2.377047,2.372171,2.365354,2.356841,2.346863,2.646641,2.335634,2.323350,2.310191,2.296317,2.281872,2.266983,2.251764,2.236314,2.220719,2.205056,2.519564,2.189391,2.059264,2.385316,2.327038,2.311519,2.429728,2.315431,2.327049,2.340678,2.353536
2023-01-05,2.415743,2.424153,2.429811,2.432728,2.433031,2.430906,2.426571,2.420250,2.412167,2.402536,2.628274,2.391560,2.379428,2.366312,2.352370,2.337744,2.322563,2.306942,2.290985,2.274783,2.258416,2.538348,2.241956,2.096158,2.425071,2.374588,2.361702,2.421620,2.366391,2.378171,2.391830,2.404777
2023-01-04,2.354365,2.364016,2.370648,2.374310,2.375170,2.373452,2.369408,2.363293,2.355358,2.345842,2.597576,2.334964,2.322929,2.309924,2.296114,2.281651,2.266669,2.251288,2.235612,2.219736,2.203739,2.483009,2.187694,2.016509,2.356496,2.302831,2.290647,2.379350,2.297299,2.311307,2.327073,2.341862
2023-01-03,2.438222,2.447166,2.452943,2.455596,2.455298,2.452289,2.446835,2.439212,2.429687,2.418515,2.563433,2.405933,2.392158,2.377389,2.361804,2.345564,2.328811,2.311671,2.294257,2.276665,2.258982,2.546284,2.241283,1.927909,2.444808,2.392942,2.378829,2.284315,2.383889,2.396927,2.412058,2.426307
2023-01-02,2.518254,2.530482,2.539200,2.544415,2.546294,2.545085,2.541072,2.534555,2.525827,2.515169,2.518973,2.502845,2.489099,2.474153,2.458209,2.441448,2.424033,2.406107,2.387800,2.369224,2.350478,2.582954,2.331649,1.808514,2.504729,2.456654,2.443439,2.180629,2.450324,2.466266,2.484889,2.502792
